,,game_id,game_no,opp,play_type,play_direction,yards_gained
TEN,109,2019120812,13,OAK,run,middle,33
TEN,110,2019120812,13,OAK,run,right,46
TEN,111,2019120812,13,OAK,short pass,left,34
TEN,112,2019120812,13,OAK,short pass,middle,70
TEN,113,2019120812,13,OAK,short pass,right,74
TEN,114,2019120812,13,OAK,long pass,left,41
TEN,115,2019120812,13,OAK,long pass,middle,130
TEN,116,2019120812,13,OAK,long pass,right,42
TEN,117,2019121507,14,HOU,run,left,50
TEN,118,2019121507,14,HOU,run,middle,23
TEN,119,2019121507,14,HOU,run,right,91
TEN,120,2019121507,14,HOU,short pass,left,86
TEN,121,2019121507,14,HOU,short pass,middle,46
TEN,122,2019121507,14,HOU,short pass,right,42
TEN,123,2019121507,14,HOU,long pass,left,22
TEN,124,2019121507,14,HOU,long pass,middle,23
TEN,125,2019121507,14,HOU,long pass,right,60
TEN,126,2019122210,15,NO,run,left,82
TEN,127,2019122210,15,NO,run,middle,24
TEN,128,2019122210,15,NO,run,right,43
TEN,129,2019122210,15,NO,short pass,left,56
TEN,130,2019122210,15,NO,short pass,middle,99
TEN,131,2019122210,15,NO,short pass,right,38
TEN,132,2019122210,15,NO,long pass,left,34
TEN,133,2019122210,15,NO,long pass,middle,0
TEN,134,2019122210,15,NO,long pass,right,45
TEN,135,2019122906,16,HOU,run,left,165
TEN,136,2019122906,16,HOU,run,middle,36
TEN,137,2019122906,16,HOU,run,right,46
TEN,138,2019122906,16,HOU,short pass,left,31
TEN,139,2019122906,16,HOU,short pass,middle,25
TEN,140,2019122906,16,HOU,short pass,right,103
TEN,141,2019122906,16,HOU,long pass,left,63
TEN,142,2019122906,16,HOU,long pass,middle,0
TEN,143,2019122906,16,HOU,long pass,right,0
BUF,0,2019090805,1,NYJ,run,left,71
BUF,1,2019090805,1,NYJ,run,middle,27
BUF,2,2019090805,1,NYJ,run,right,31
BUF,3,2019090805,1,NYJ,short pass,left,90
BUF,4,2019090805,1,NYJ,short pass,middle,33
BUF,5,2019090805,1,NYJ,short pass,right,44
BUF,6,2019090805,1,NYJ,long pass,left,38
BUF,7,2019090805,1,NYJ,long pass,middle,0
BUF,8,2019090805,1,NYJ,long pass,right,49
BUF,9,2019091506,2,NYG,run,left,66
BUF,10,2019091506,2,NYG,run,middle,20
BUF,11,2019091506,2,NYG,run,right,67
BUF,12,2019091506,2,NYG,short pass,left,36
BUF,13,2019091506,2,NYG,short pass,middle,77
BUF,14,2019091506,2,NYG,short pass,right,45
BUF,15,2019091506,2,NYG,long pass,left,26
BUF,16,2019091506,2,NYG,long pass,middle,0
BUF,17,2019091506,2,NYG,long pass,right,69
BUF,18,2019092200,3,CIN,run,left,59
BUF,19,2019092200,3,CIN,run,middle,76
BUF,20,2019092200,3,CIN,run,right,41
BUF,21,2019092200,3,CIN,short pass,left,71
BUF,22,2019092200,3,CIN,short pass,middle,47
BUF,23,2019092200,3,CIN,short pass,right,49
BUF,24,2019092200,3,CIN,long pass,left,49
BUF,25,2019092200,3,CIN,long pass,middle,0
BUF,26,2019092200,3,CIN,long pass,right,27
BUF,27,2019092902,4,NE,run,left,24
BUF,28,2019092902,4,NE,run,middle,53
BUF,29,2019092902,4,NE,run,right,58
BUF,30,2019092902,4,NE,short pass,left,61
BUF,31,2019092902,4,NE,short pass,middle,72
BUF,32,2019092902,4,NE,short pass,right,60
BUF,33,2019092902,4,NE,long pass,left,21
BUF,34,2019092902,4,NE,long pass,middle,0
BUF,35,2019092902,4,NE,long pass,right,66
BUF,36,2019100608,5,TEN,run,left,38
BUF,37,2019100608,5,TEN,run,middle,38
BUF,38,2019100608,5,TEN,run,right,35
BUF,39,2019100608,5,TEN,short pass,left,74
BUF,40,2019100608,5,TEN,short pass,middle,76
BUF,41,2019100608,5,TEN,short pass,right,48
BUF,42,2019100608,5,TEN,long pass,left,21
BUF,43,2019100608,5,TEN,long pass,middle,0
BUF,44,2019100608,5,TEN,long pass,right,0
BUF,45,2019102001,6,MIA,run,left,19
BUF,46,2019102001,6,MIA,run,middle,34
BUF,47,2019102001,6,MIA,run,right,64
BUF,48,2019102001,6,MIA,short pass,left,55
BUF,49,2019102001,6,MIA,short pass,middle,7
BUF,50,2019102001,6,MIA,short pass,right,30
BUF,51,2019102001,6,MIA,long pass,left,66
BUF,52,2019102001,6,MIA,long pass,middle,20
BUF,53,2019102001,6,MIA,long pass,right,24
BUF,54,2019102701,7,PHI,run,left,15
BUF,55,2019102701,7,PHI,run,middle,53
BUF,56,2019102701,7,PHI,run,right,30
BUF,57,2019102701,7,PHI,short pass,left,72
BUF,58,2019102701,7,PHI,short pass,middle,19
BUF,59,2019102701,7,PHI,short pass,right,39
BUF,60,2019102701,7,PHI,long pass,left,0
BUF,61,2019102701,7,PHI,long pass,middle,0
BUF,62,2019102701,7,PHI,long pass,right,39
BUF,63,2019110301,8,WAS,run,left,62
BUF,64,2019110301,8,WAS,run,middle,18
BUF,65,2019110301,8,WAS,run,right,45
BUF,66,2019110301,8,WAS,short pass,left,16
BUF,67,2019110301,8,WAS,short pass,middle,16
BUF,68,2019110301,8,WAS,short pass,right,80
BUF,69,2019110301,8,WAS,long pass,left,25
BUF,70,2019110301,8,WAS,long pass,middle,0
BUF,71,2019110301,8,WAS,long pass,right,23
BUF,72,2019111002,9,CLE,run,left,8
BUF,73,2019111002,9,CLE,run,middle,14
BUF,74,2019111002,9,CLE,run,right,62
BUF,75,2019111002,9,CLE,short pass,left,67
BUF,76,2019111002,9,CLE,short pass,middle,41
BUF,77,2019111002,9,CLE,short pass,right,58
BUF,78,2019111002,9,CLE,long pass,left,58
BUF,79,2019111002,9,CLE,long pass,middle,26
BUF,80,2019111002,9,CLE,long pass,right,16
BUF,81,2019111704,10,MIA,run,left,79
BUF,82,2019111704,10,MIA,run,middle,39
BUF,83,2019111704,10,MIA,run,right,51
BUF,84,2019111704,10,MIA,short pass,left,49
BUF,85,2019111704,10,MIA,short pass,middle,105
BUF,86,2019111704,10,MIA,short pass,right,45
BUF,87,2019111704,10,MIA,long pass,left,0
BUF,88,2019111704,10,MIA,long pass,middle,17
BUF,89,2019111704,10,MIA,long pass,right,40
BUF,90,2019112401,11,DEN,run,left,118
BUF,91,2019112401,11,DEN,run,middle,64
BUF,92,2019112401,11,DEN,run,right,63
BUF,93,2019112401,11,DEN,short pass,left,61
BUF,94,2019112401,11,DEN,short pass,middle,55
BUF,95,2019112401,11,DEN,short pass,right,35
BUF,96,2019112401,11,DEN,long pass,left,0
BUF,97,2019112401,11,DEN,long pass,middle,0
BUF,98,2019112401,11,DEN,long pass,right,34
BUF,99,2019112801,12,DAL,run,left,52
BUF,100,2019112801,12,DAL,run,middle,40
BUF,101,2019112801,12,DAL,run,right,31
BUF,102,2019112801,12,DAL,short pass,left,66
BUF,103,2019112801,12,DAL,short pass,middle,73
BUF,104,2019112801,12,DAL,short pass,right,44
BUF,105,2019112801,12,DAL,long pass,left,0
BUF,106,2019112801,12,DAL,long pass,middle,19
BUF,107,2019112801,12,DAL,long pass,right,57
BUF,108,2019120801,13,BAL,run,left,12
BUF,109,2019120801,13,BAL,run,middle,18
BUF,110,2019120801,13,BAL,run,right,74
BUF,111,2019120801,13,BAL,short pass,left,42
BUF,112,2019120801,13,BAL,short pass,middle,32
BUF,113,2019120801,13,BAL,short pass,right,35
BUF,114,2019120801,13,BAL,long pass,left,0
BUF,115,2019120801,13,BAL,long pass,middle,0
BUF,116,2019120801,13,BAL,long pass,right,37
BUF,117,2019121506,14,PIT,run,left,19
BUF,118,2019121506,14,PIT,run,middle,56
BUF,119,2019121506,14,PIT,run,right,56
BUF,120,2019121506,14,PIT,short pass,left,39
BUF,121,2019121506,14,PIT,short pass,middle,8
BUF,122,2019121506,14,PIT,short pass,right,32
BUF,123,2019121506,14,PIT,long pass,left,60
BUF,124,2019121506,14,PIT,long pass,middle,0
BUF,125,2019121506,14,PIT,long pass,right,0
BUF,126,2019122101,15,NE,run,left,42
BUF,127,2019122101,15,NE,run,middle,22
BUF,128,2019122101,15,NE,run,right,28
BUF,129,2019122101,15,NE,short pass,left,46
BUF,130,2019122101,15,NE,short pass,middle,11
BUF,131,2019122101,15,NE,short pass,right,40
BUF,132,2019122101,15,NE,long pass,left,86
BUF,133,2019122101,15,NE,long pass,middle,0
BUF,134,2019122101,15,NE,long pass,right,25
BUF,135,2019122901,16,NYJ,run,left,12
BUF,136,2019122901,16,NYJ,run,middle,15
BUF,137,2019122901,16,NYJ,run,right,46
BUF,138,2019122901,16,NYJ,short pass,left,65
BUF,139,2019122901,16,NYJ,short pass,middle,104
BUF,140,2019122901,16,NYJ,short pass,right,5
BUF,141,2019122901,16,NYJ,long pass,left,0
BUF,142,2019122901,16,NYJ,long pass,middle,0
BUF,143,2019122901,16,NYJ,long pass,right,63
HOU,0,2019090900,1,NO,run,left,90
HOU,1,2019090900,1,NO,run,middle,1
HOU,2,2019090900,1,NO,run,right,89
HOU,3,2019090900,1,NO,short pass,left,46
HOU,4,2019090900,1,NO,short pass,middle,47
HOU,5,2019090900,1,NO,short pass,right,25
HOU,6,2019090900,1,NO,long pass,left,38
HOU,7,2019090900,1,NO,long pass,middle,112
HOU,8,2019090900,1,NO,long pass,right,0
HOU,9,2019091504,2,JAX,run,left,57
HOU,10,2019091504,2,JAX,run,middle,35
HOU,11,2019091504,2,JAX,run,right,35
HOU,12,2019091504,2,JAX,short pass,left,16
HOU,13,2019091504,2,JAX,short pass,middle,56
HOU,14,2019091504,2,JAX,short pass,right,28
HOU,15,2019091504,2,JAX,long pass,left,0
HOU,16,2019091504,2,JAX,long pass,middle,0
HOU,17,2019091504,2,JAX,long pass,right,59
HOU,18,2019092210,3,LAC,run,left,15
HOU,19,2019092210,3,LAC,run,middle,10
HOU,20,2019092210,3,LAC,run,right,26
HOU,21,2019092210,3,LAC,short pass,left,38
HOU,22,2019092210,3,LAC,short pass,middle,110
HOU,23,2019092210,3,LAC,short pass,right,82
HOU,24,2019092210,3,LAC,long pass,left,38
HOU,25,2019092210,3,LAC,long pass,middle,37
HOU,26,2019092210,3,LAC,long pass,right,46
HOU,27,2019092904,4,CAR,run,left,91
HOU,28,2019092904,4,CAR,run,middle,37
HOU,29,2019092904,4,CAR,run,right,8
HOU,30,2019092904,4,CAR,short pass,left,76
HOU,31,2019092904,4,CAR,short pass,middle,34
HOU,32,2019092904,4,CAR,short pass,right,50
HOU,33,2019092904,4,CAR,long pass,left,0
HOU,34,2019092904,4,CAR,long pass,middle,0
HOU,35,2019092904,4,CAR,long pass,right,0
HOU,36,2019100602,5,ATL,run,left,33
HOU,37,2019100602,5,ATL,run,middle,78
HOU,38,2019100602,5,ATL,run,right,41
HOU,39,2019100602,5,ATL,short pass,left,119
HOU,40,2019100602,5,ATL,short pass,middle,24
HOU,41,2019100602,5,ATL,short pass,right,77
HOU,42,2019100602,5,ATL,long pass,left,77
HOU,43,2019100602,5,ATL,long pass,middle,80
HOU,44,2019100602,5,ATL,long pass,right,49
HOU,45,2019101304,6,KC,run,left,50
HOU,46,2019101304,6,KC,run,middle,50
HOU,47,2019101304,6,KC,run,right,94
HOU,48,2019101304,6,KC,short pass,left,105
HOU,49,2019101304,6,KC,short pass,middle,18
HOU,50,2019101304,6,KC,short pass,right,134
HOU,51,2019101304,6,KC,long pass,left,23
HOU,52,2019101304,6,KC,long pass,middle,0
HOU,53,2019101304,6,KC,long pass,right,0
HOU,54,2019102005,7,IND,run,left,75
HOU,55,2019102005,7,IND,run,middle,3
HOU,56,2019102005,7,IND,run,right,22
HOU,57,2019102005,7,IND,short pass,left,73
HOU,58,2019102005,7,IND,short pass,middle,84
HOU,59,2019102005,7,IND,short pass,right,65
HOU,60,2019102005,7,IND,long pass,left,45
HOU,61,2019102005,7,IND,long pass,middle,0
HOU,62,2019102005,7,IND,long pass,right,41
HOU,63,2019102704,8,OAK,run,left,57
HOU,64,2019102704,8,OAK,run,middle,66
HOU,65,2019102704,8,OAK,run,right,10
HOU,66,2019102704,8,OAK,short pass,left,57
HOU,67,2019102704,8,OAK,short pass,middle,82
HOU,68,2019102704,8,OAK,short pass,right,73
HOU,69,2019102704,8,OAK,long pass,left,0
HOU,70,2019102704,8,OAK,long pass,middle,21
HOU,71,2019102704,8,OAK,long pass,right,46
HOU,72,2019110300,9,JAX,run,left,89
HOU,73,2019110300,9,JAX,run,middle,26
HOU,74,2019110300,9,JAX,run,right,101
HOU,75,2019110300,9,JAX,short pass,left,92
HOU,76,2019110300,9,JAX,short pass,middle,43
HOU,77,2019110300,9,JAX,short pass,right,24
HOU,78,2019110300,9,JAX,long pass,left,0
HOU,79,2019110300,9,JAX,long pass,middle,21
HOU,80,2019110300,9,JAX,long pass,right,21
HOU,81,2019111700,10,BAL,run,left,19
HOU,82,2019111700,10,BAL,run,middle,4
HOU,83,2019111700,10,BAL,run,right,99
HOU,84,2019111700,10,BAL,short pass,left,30
HOU,85,2019111700,10,BAL,short pass,middle,101
HOU,86,2019111700,10,BAL,short pass,right,21
HOU,87,2019111700,10,BAL,long pass,left,0
HOU,88,2019111700,10,BAL,long pass,middle,0
HOU,89,2019111700,10,BAL,long pass,right,17
HOU,90,2019112100,11,IND,run,left,9
HOU,91,2019112100,11,IND,run,middle,49
HOU,92,2019112100,11,IND,run,right,41
HOU,93,2019112100,11,IND,short pass,left,50
HOU,94,2019112100,11,IND,short pass,middle,38
HOU,95,2019112100,11,IND,short pass,right,26
HOU,96,2019112100,11,IND,long pass,left,125
HOU,97,2019112100,11,IND,long pass,middle,35
HOU,98,2019112100,11,IND,long pass,right,24
HOU,99,2019120111,12,NE,run,left,15
HOU,100,2019120111,12,NE,run,middle,21
HOU,101,2019120111,12,NE,run,right,19
HOU,102,2019120111,12,NE,short pass,left,28
HOU,103,2019120111,12,NE,short pass,middle,41
HOU,104,2019120111,12,NE,short pass,right,72
HOU,105,2019120111,12,NE,long pass,left,35
HOU,106,2019120111,12,NE,long pass,middle,64
HOU,107,2019120111,12,NE,long pass,right,0
HOU,108,2019120804,13,DEN,run,left,43
HOU,109,2019120804,13,DEN,run,middle,39
HOU,110,2019120804,13,DEN,run,right,52
HOU,111,2019120804,13,DEN,short pass,left,69
HOU,112,2019120804,13,DEN,short pass,middle,104
HOU,113,2019120804,13,DEN,short pass,right,39
HOU,114,2019120804,13,DEN,long pass,left,61
HOU,115,2019120804,13,DEN,long pass,middle,0
HOU,116,2019120804,13,DEN,long pass,right,19
HOU,117,2019121507,14,TEN,run,left,49
HOU,118,2019121507,14,TEN,run,middle,49
HOU,119,2019121507,14,TEN,run,right,42
HOU,120,2019121507,14,TEN,short pass,left,46
HOU,121,2019121507,14,TEN,short pass,middle,32
HOU,122,2019121507,14,TEN,short pass,right,48
HOU,123,2019121507,14,TEN,long pass,left,35
HOU,124,2019121507,14,TEN,long pass,middle,0
HOU,125,2019121507,14,TEN,long pass,right,82
HOU,126,2019122100,15,TB,run,left,37
HOU,127,2019122100,15,TB,run,middle,22
HOU,128,2019122100,15,TB,run,right,10
HOU,129,2019122100,15,TB,short pass,left,31
